time,IL
1.240490595277573e-06,0.01904361539762896
1.240576373269319e-06,0.01887291719405449
1.240696500784365e-06,0.01863386343911407
1.240834347285721e-06,0.01835954890141496
1.241005542870156e-06,0.01801886968839021
1.241195506854223e-06,0.01764084136009704
1.241411299785138e-06,0.01721141342757627
1.2416258208123e-06,0.01678451658352246
1.241860975633968e-06,0.01631655848840447
1.242169072954979e-06,0.0157034448195927
1.242594384673283e-06,0.01485707450016753
1.243236104001264e-06,0.01358005303748496
1.243971892041957e-06,0.01211583483650503
1.244612873394801e-06,0.01084028194434545
1.245380648485285e-06,0.00931240951428391
1.246236919849078e-06,0.007608429500334213
1.247119355331778e-06,0.005852382889762215
1.247978041115127e-06,0.004143598180897278
1.24876560087644e-06,0.002576354255884965
1.249458005226817e-06,0.001198469598634514
1.25001e-06,0.0001
1.250031569771509e-06,0.0001
1.250054573849756e-06,0.0001
1.250078556426828e-06,0.0001
1.250095607958185e-06,0.0001
1.250112235207214e-06,0.0001
1.250129507427574e-06,0.0001
1.250149258719096e-06,0.0001
1.250174790888636e-06,0.0001
1.250214124745869e-06,0.0001
1.250272478286317e-06,0.0001
1.250333885366259e-06,0.0001
1.250410882294647e-06,0.0001
1.250513525290393e-06,0.0001
1.25062049912293e-06,0.0001
1.250733565383511e-06,0.0001
1.250857733610377e-06,0.0001
1.251002360847143e-06,0.0001
1.251197713727492e-06,0.0001
1.251446757158819e-06,0.0001
1.25166589657559e-06,0.0001
1.251885380564812e-06,0.0001
1.25214661060546e-06,0.0001
1.252468220264402e-06,0.0001
1.252789568980573e-06,0.0001
1.253143342605945e-06,0.0001
1.253461259173206e-06,0.0001
1.253804722214757e-06,0.0001
1.254178444340652e-06,0.0001
1.254615028585541e-06,0.0001
1.255116714782918e-06,0.0001
1.255665891083743e-06,0.0001
1.256274477531758e-06,0.0001
1.256966738713395e-06,0.0001
1.257776086249548e-06,0.0001
1.25868766851467e-06,0.0001
1.259618141246033e-06,0.0001
1.260604744565106e-06,0.0001
1.261682206842433e-06,0.0001
1.262892105771065e-06,0.0001
1.264302047894466e-06,0.0001
1.266003101409612e-06,0.0001
1.268132959479322e-06,0.0001
1.27093603685563e-06,0.0001
1.274749120006339e-06,0.0001
1.279985131768717e-06,0.0001
1.287761821498459e-06,0.0001
1.298725506137848e-06,0.0001
1.306483156024733e-06,0.0001
1.315042767452178e-06,0.0001
1.3193225731659e-06,0.0001
1.327882184593345e-06,0.0001
