time,VOUT
1.259157479207289e-06,1.72054287191738
1.26017713072021e-06,1.719687220221408
1.261212515341766e-06,1.719021298367422
1.262316443349555e-06,1.718458750599056
1.26353520415903e-06,1.717957138826244
1.264921322027667e-06,1.717491107366955
1.266558680885402e-06,1.717038091806544
1.26857111549277e-06,1.716576766790884
1.271129265052076e-06,1.716084845256389
1.274501505732435e-06,1.715527628672077
1.279049845156023e-06,1.714856435085298
1.285147919288439e-06,1.714014166206702
1.293104312221498e-06,1.712944305276206
1.302878964752914e-06,1.711636572605324
1.310627790743575e-06,1.710598023879365
1.313368573915368e-06,1.71023032069286
1.318850140258954e-06,1.709493623642674
1.328815297285917e-06,1.708151943560616
1.33118813883561e-06,1.707832430739833
1.335933821934996e-06,1.707192448297852
1.345425188133769e-06,1.70591082022016
1.349015841465029e-06,1.705425640994726
1.356197148127548e-06,1.704454243903283
1.362892100916825e-06,1.703547644221186
1.370378358650398e-06,1.702532703147145
1.374121487517184e-06,1.702024693273596
1.381607745250757e-06,1.701007645223196
1.384982377311881e-06,1.700548651484299
1.391731641434131e-06,1.699629769452003
1.394879138267902e-06,1.699200753391535
1.401174131935444e-06,1.69834189023385
1.412925095898953e-06,1.696735517509387
1.42215863971892e-06,1.69547043691664
1.431994955061425e-06,1.69412233530359
1.443325550977086e-06,1.692581463032193
1.452100539487176e-06,1.691430881383125
1.463729807279328e-06,1.690199978431405
1.474002070007902e-06,1.690312004209265
1.475867484624361e-06,1.690606206440828
1.479598313857278e-06,1.691634541879582
1.484671587794341e-06,1.693996694636907
1.490651458286248e-06,1.697505241848567
1.49517111639128e-06,1.699836210668159
1.4989532762706e-06,1.701222459589512
1.50288791740329e-06,1.702120570802056
1.508122512859622e-06,1.70273068555547
1.513110630217169e-06,1.70295145860069
1.518395267316156e-06,1.702999527156887
1.524289987278786e-06,1.70295296368295
1.531524298641696e-06,1.702836531464283
1.541478819588832e-06,1.702639173192798
1.5563240813555e-06,1.702331983082824
1.569020045746478e-06,1.702069203572057
1.582634535490335e-06,1.701813398990718
1.59902886960016e-06,1.701573390733227
1.618207348900735e-06,1.701402600666475
1.641717975137817e-06,1.701335467286994
1.671787071829401e-06,1.701373716309697
1.708296472644398e-06,1.70145475040174
1.753577309936043e-06,1.70150200391634
1.816233319790291e-06,1.701497797023394
1.895447036018815e-06,1.701478466922815
1.995447036018815e-06,1.70147396968533
2.095447036018815e-06,1.701477203920965
2.195447036018815e-06,1.701478688618567
2.295447036018815e-06,1.701478470080316
2.395447036018815e-06,1.701478187785428
2.447728518009408e-06,1.7014781700364
2.50001e-06,1.701478203673546
2.5000490625e-06,1.700021328384651
2.500091853340763e-06,1.698450668867225
2.50011216491293e-06,1.697607452038064
2.500134375527075e-06,1.696573328806237
2.500156642511372e-06,1.695410021379869
2.500190397435186e-06,1.693447445160327
2.500219980578752e-06,1.691591247965835
2.500246729731046e-06,1.689851355096912
2.500278174898347e-06,1.687774167378215
2.500327296020213e-06,1.684493261237605
2.500362544925374e-06,1.682106795497691
2.500395761011066e-06,1.679825726325346
2.500433428734131e-06,1.677197738313558
2.500484902929781e-06,1.673547480881881
2.500571590928687e-06,1.66730456617571
2.500654751699352e-06,1.661243418775422
2.500739095069933e-06,1.655047120721806
2.500832718968557e-06,1.648132949065062
2.500943996884391e-06,1.639898808244454
2.501101745133908e-06,1.628259127087285
2.501276354901493e-06,1.61548301844361
2.501422513778376e-06,1.604911853331692
2.501562209645893e-06,1.594939508142136
2.501710496826794e-06,1.584521910989004
2.501888290263383e-06,1.572314995797273
2.502169158178356e-06,1.55392855474202
2.502442218917151e-06,1.537618655273037
2.502678305716173e-06,1.52532714417671
2.50289847631251e-06,1.515916513528324
2.503106461687871e-06,1.509305469791282
2.503311619935692e-06,1.505341865736255
2.503523879937702e-06,1.504235196067123
2.503753608072955e-06,1.506692576460585
2.503960239748002e-06,1.512183693162049
2.504154212190555e-06,1.520056362644202
2.5043390608497e-06,1.529795395936186
2.504524629154942e-06,1.541463771860495
