VIN,VOUT
0.1550000000000001,-1.713371299772727
0.1560000000000001,-1.712291100163498
0.1570000000000001,-1.711212496314691
0.1580000000000001,-1.710135420837977
0.1590000000000001,-1.709059812413841
0.1600000000000001,-1.707985609580738
0.1610000000000001,-1.706912754897794
0.1620000000000001,-1.705841195053645
0.1630000000000001,-1.704770874845315
0.1640000000000001,-1.703701744363112
0.1650000000000001,-1.70263375410931
0.1660000000000001,-1.701566858693368
0.1670000000000001,-1.700501009746579
0.1680000000000001,-1.699436168787729
0.1690000000000001,-1.698372290872509
0.1700000000000001,-1.697309338446295
0.1710000000000001,-1.696247272466333
0.1720000000000001,-1.695186057957302
0.1730000000000001,-1.694125659264554
0.1740000000000001,-1.693066041789604
0.1750000000000001,-1.692007173253173
0.1760000000000001,-1.690949025323326
0.1770000000000001,-1.689891567879652
0.1780000000000001,-1.688834769571556
0.1790000000000001,-1.687778607152879
0.1800000000000001,-1.686723052175135
0.1810000000000001,-1.685668081146322
0.1820000000000001,-1.684613670728034
0.1830000000000001,-1.68355979683775
0.1840000000000001,-1.682506436544271
0.1850000000000001,-1.68145356996917
0.1860000000000001,-1.680401178282928
0.1870000000000001,-1.679349240753933
0.1880000000000001,-1.678297740280638
0.1890000000000001,-1.677246658151452
0.1900000000000001,-1.676195976440376
0.1910000000000001,-1.67514568076549
0.1920000000000001,-1.674095756338179
0.1930000000000001,-1.673046185471008
0.1940000000000001,-1.671996955497064
0.1950000000000001,-1.670948052518745
0.1960000000000001,-1.669899464328273
0.1970000000000001,-1.668851178316306
0.1980000000000001,-1.667803181347948
0.1990000000000001,-1.66675546465299
0.2000000000000001,-1.665708015190543
0.2010000000000002,-1.664660822086441
0.2020000000000002,-1.663613876091934
0.2030000000000002,-1.662567169553283
0.2040000000000002,-1.661520690658848
0.2050000000000002,-1.660474424363623
0.2060000000000002,-1.659428378360297
0.2070000000000002,-1.65838253537458
0.2080000000000002,-1.657336888039711
0.2090000000000002,-1.656291430657433
0.2100000000000002,-1.655246155349972
0.2110000000000002,-1.654201055782287
0.2120000000000002,-1.653156124881544
0.2130000000000002,-1.65211135746284
0.2140000000000002,-1.651066747546298
0.2150000000000002,-1.650022289651021
0.2160000000000002,-1.648977979498079
0.2170000000000002,-1.647933812026104
0.2180000000000002,-1.646889781414957
0.2190000000000002,-1.645845881809185
0.2200000000000002,-1.644802112759234
0.2210000000000002,-1.643758467839088
0.2220000000000002,-1.642714942335378
0.2230000000000002,-1.641671535794306
0.2240000000000002,-1.64062824215333
0.2250000000000002,-1.63958505775356
0.2260000000000002,-1.638541980464442
0.2270000000000002,-1.637499006673065
0.2280000000000002,-1.636456134905522
0.2290000000000002,-1.635413360952728
0.2300000000000002,-1.634370684904114
0.2310000000000002,-1.633328091362887
0.2320000000000002,-1.632285598468364
0.2330000000000002,-1.631243194009382
0.2340000000000002,-1.630200876474393
0.2350000000000002,-1.62915864123246
0.2360000000000002,-1.628116490952852
0.2370000000000002,-1.627074419268049
0.2380000000000002,-1.626032428739649
0.2390000000000002,-1.624990514557902
0.2400000000000002,-1.623948675401946
0.2410000000000002,-1.622906912492089
0.2420000000000002,-1.621865221158563
0.2430000000000002,-1.620823600493637
0.2440000000000002,-1.619782052413981
0.2450000000000002,-1.618740570382074
0.2460000000000002,-1.617699148118799
0.2470000000000002,-1.616657799553682
0.2480000000000002,-1.615616516108705
0.2490000000000002,-1.614575295307581
0.2500000000000002,-1.613534137518477
0.2510000000000002,-1.61249304108981
0.2520000000000002,-1.611452004980974
0.2530000000000002,-1.610411026219424
0.2540000000000002,-1.609370106968059
0.2550000000000002,-1.60832924343843
0.2560000000000002,-1.607288435561952
0.2570000000000002,-1.606247674294132
0.2580000000000002,-1.605206972809473
0.2590000000000002,-1.604166322758467
0.2600000000000002,-1.603125721888718
0.2610000000000002,-1.602085171711027
0.2620000000000002,-1.601044667544324
0.2630000000000002,-1.600004209041036
0.2640000000000002,-1.598963794703551
0.2650000000000002,-1.597923423427554
0.2660000000000002,-1.596883086568492
0.2670000000000002,-1.595842795598555
0.2680000000000002,-1.594802541311909
0.2690000000000002,-1.593762323369651
0.2700000000000002,-1.592722138316846
0.2710000000000002,-1.591681984255254
0.2720000000000002,-1.590641857748853
0.2730000000000002,-1.589601750912696
0.2740000000000002,-1.588561676114881
0.2750000000000002,-1.587521620323492
0.2760000000000002,-1.586481583303184
0.2770000000000002,-1.585441560059332
0.2780000000000002,-1.584401548857278
0.2790000000000002,-1.583361542144143
0.2800000000000002,-1.582321542238105
0.2810000000000002,-1.58128154650339
0.2820000000000002,-1.580241544652351
0.2830000000000002,-1.579201538039582
0.2840000000000002,-1.578161516051948
0.2850000000000002,-1.577121471966324
0.2860000000000002,-1.576081411803874
0.2870000000000002,-1.575041325203749
0.2880000000000002,-1.574001204726212
0.2890000000000002,-1.572961046316097
0.2900000000000002,-1.571920836124541
0.2910000000000002,-1.570880577614147
0.2920000000000002,-1.569840262923244
0.2930000000000002,-1.568799881876942
0.2940000000000002,-1.567759417755763
0.2950000000000002,-1.566718880007169
0.2960000000000002,-1.56567825089368
0.2970000000000002,-1.56463752128586
0.2980000000000002,-1.563596676799397
0.2990000000000002,-1.562555719772004
0.3000000000000002,-1.561514632641506
0.3010000000000002,-1.560473405331112
0.3020000000000002,-1.55943201640269
0.3030000000000002,-1.55839047003671
0.3040000000000002,-1.55734875093818
0.3050000000000002,-1.556306829843612
0.3060000000000002,-1.55526471096781
0.3070000000000002,-1.554222373074378
0.3080000000000002,-1.553179800718634
0.3090000000000002,-1.552136972174336
0.3100000000000002,-1.551093878957437
0.3110000000000002,-1.550050500483744
0.3120000000000002,-1.549006811079767
0.3130000000000002,-1.547962804788672
0.3140000000000002,-1.546918452214457
0.3150000000000002,-1.545873727508429
0.3160000000000002,-1.54482862210517
0.3170000000000002,-1.543783096551093
0.3180000000000002,-1.542737141031365
0.3190000000000002,-1.54169072452015
0.3200000000000002,-1.540643811315866
0.3210000000000002,-1.53959638611937
0.3220000000000002,-1.538548416784165
0.3230000000000002,-1.537499861708539
0.3240000000000002,-1.536450704230983
0.3250000000000002,-1.5354008979331
0.3260000000000002,-1.534350420612756
