"Loop Gain dB20 (IL=0.2,Temp=-55,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=-55,harmonic=0) Y","Loop Gain dB20 (IL=0.2,Temp=-180,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=-180,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=-55,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=-55,harmonic=0) Y","Loop Gain dB20 (IL=0.2,Temp=125,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=125,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=27,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=27,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=125,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=125,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=-180,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=-180,harmonic=0) Y","Loop Gain dB20 (IL=0.2,Temp=27,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=27,harmonic=0) Y"
10.00000000000001,47.50103176840049,10.00000000000001,51.73386837594687,10.00000000000001,75.11784924500827,10.00000000000001,32.16480362985065,10.00000000000001,67.32960677035861,10.00000000000001,49.02769827627215,10.00000000000001,79.55266477532247,10.00000000000001,39.66011494003229
12.58925411794168,47.50103174506582,12.58925411794168,51.73386834506061,12.58925411794168,75.11784459283402,12.58925411794168,32.16480362219432,12.58925411794168,67.32960602575517,12.58925411794168,49.02769825003495,12.58925411794168,79.55265824125546,12.58925411794168,39.6601149300353
15.84893192461115,47.50103170813007,15.84893192461115,51.73386829608644,15.84893192461115,75.11783722028406,15.84893192461115,32.1648036101255,15.84893192461115,67.32960484524273,15.84893192461115,49.02769820849719,15.84893192461115,79.5526478855091,15.84893192461115,39.66011491423744
19.95262314968881,47.50103164968012,19.95262314968881,51.73386821857207,19.95262314968881,75.11782553569482,19.95262314968881,32.16480359104677,19.95262314968881,67.32960297455102,19.95262314968881,49.02769814277054,19.95262314968881,79.55263147320798,19.95262314968881,39.66011488928284
25.11886431509582,47.50103155727663,25.11886431509582,51.73386809599386,25.11886431509582,75.1178070175247,25.11886431509582,32.16480356109267,25.11886431509582,67.32960000964896,25.11886431509582,49.02769803883703,25.11886431509582,79.55260546079666,25.11886431509582,39.66011484997166
31.62277660168382,47.50103141141936,31.62277660168382,51.73386790232922,31.62277660168382,75.117777669026,31.62277660168382,32.16480351415755,31.62277660168382,67.3295953116681,31.62277660168382,49.02769787466585,31.62277660168382,79.55256423422315,31.62277660168382,39.6601147882448
39.81071705534977,47.50103118166156,39.81071705534977,51.73386759673208,39.81071705534977,75.11773115550992,39.81071705534977,32.16480344117811,39.81071705534977,67.3295878670781,39.81071705534977,49.02769761593714,39.81071705534977,79.55249889759821,39.81071705534977,39.66011469182855
50.11872336272729,47.50103082090597,50.11872336272729,51.73386711590486,50.11872336272729,75.11765744125915,50.11872336272729,32.1648033288934,50.11872336272729,67.3295760716953,50.11872336272729,49.02769720925367,50.11872336272729,79.55239535156464,50.11872336272729,39.66011454239744
63.0957344480194,47.50103025718639,63.0957344480194,51.73386636192271,63.0957344480194,75.11754062269689,63.0957344480194,32.16480315888114,63.0957344480194,67.3295573855127,63.0957344480194,49.02769657278631,63.0957344480194,79.55223125476677,63.0957344480194,39.66011431354045
79.43282347242825,47.50102938190476,79.43282347242825,51.73386518528638,79.43282347242825,75.1173555033583,79.43282347242825,32.1648029074838,79.43282347242825,67.32952778803889,79.43282347242825,49.02769558236542,79.43282347242825,79.55197121091015,79.43282347242825,39.66011396893275
