"Loop Gain Phase (IL=0.2,Temp=125,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=125,harmonic=0) Y","Loop Gain Phase (IL=0.2,Temp=-180,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=-180,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=-180,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=-180,harmonic=0) Y","Loop Gain Phase (IL=0.2,Temp=-55,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=-55,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=27,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=27,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=-55,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=-55,harmonic=0) Y","Loop Gain Phase (IL=0.2,Temp=27,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=27,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=125,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=125,harmonic=0) Y"
100.0000000000001,179.988228675086,100.0000000000001,179.944283554059,100.0000000000001,179.0817092704779,100.0000000000001,179.9537663213626,100.0000000000001,179.6913063443549,100.0000000000001,179.2253228384058,100.0000000000001,179.9793215206455,100.0000000000001,179.9499793132486
125.8925411794169,179.9851823896761,125.8925411794169,179.9298587987932,125.8925411794169,178.8439999348304,125.8925411794169,179.9417968706942,125.8925411794169,179.6113815246479,125.8925411794169,179.02477552461,125.8925411794169,179.9739689508318,125.8925411794169,179.9370293282309
158.4893192461116,179.9813482300999,158.4893192461116,179.9117000197978,158.4893192461116,178.5448000384048,158.4893192461116,179.9267291204642,158.4893192461116,179.5107652059448,158.4893192461116,178.7723367885836,158.4893192461116,179.9672313534823,158.4893192461116,179.9207271720716
199.5262314968883,179.9765223480009,199.5262314968883,179.8888405474592,199.5262314968883,178.1682454558778,199.5262314968883,179.90776099799,199.5262314968883,179.3841021455154,199.5262314968883,178.4546050649606,199.5262314968883,179.9587502620869,199.5262314968883,179.9002050472393
251.1886431509584,179.9704479095353,251.1886431509584,179.8600632183748,251.1886431509584,177.6944210226787,251.1886431509584,179.8838825510325,251.1886431509584,179.2246524331488,251.1886431509584,178.0547426477641,251.1886431509584,179.9480741893813,251.1886431509584,179.8743702652503
316.2277660168385,179.9628013395089,316.2277660168385,179.8238354881244,316.2277660168385,177.098367842998,316.2277660168385,179.85382208857,316.2277660168385,179.0239350667359,316.2277660168385,177.5516197589402,316.2277660168385,179.9346345048943,316.2277660168385,179.8418469897257
398.107170553498,179.9531751327623,398.107170553498,179.7782278845462,398.107170553498,176.3488891355973,398.107170553498,179.815978509913,398.107170553498,178.7712815012066,398.107170553498,176.9187705490004,398.107170553498,179.9177151960335,398.107170553498,179.8009030360155
501.1872336272732,179.941056279477,501.1872336272732,179.7208114330203,501.1872336272732,175.4071563367796,501.1872336272732,179.768336185957,501.1872336272732,178.4532779175314,501.1872336272732,176.1231450378648,501.1872336272732,179.8964148643317,501.1872336272732,179.7493578020246
630.9573444801945,179.9257990600999,630.9573444801945,179.6485285224041,630.9573444801945,174.2251687097196,630.9573444801945,179.7083577781652,630.9573444801945,178.0530715207141,630.9573444801945,175.1236683698868,630.9573444801945,179.8695988383292,630.9573444801945,179.6844663526588
794.3282347242831,179.9065907090983,794.3282347242831,179.5575303422537,794.3282347242831,172.7442300448216,794.3282347242831,179.6328492697489,794.3282347242831,177.5495140586692,794.3282347242831,173.8696823766381,794.3282347242831,179.835838803406,794.3282347242831,179.6027734746023
