VIN,VOUT
0.079,-1.694245860247546
0.08,-1.693246869760129
0.081,-1.692248017763873
0.082,-1.691249287544909
0.083,-1.690250678408979
0.084,-1.689252188890613
0.085,-1.688253802289066
0.086,-1.687255521870622
0.087,-1.686257337436041
0.088,-1.685259246118973
0.089,-1.684261248972384
0.09,-1.683263328521307
0.091,-1.682265492965467
0.092,-1.681267732368028
0.093,-1.680270042931849
0.094,-1.679272424546474
0.095,-1.678274872606171
0.096,-1.677277380234155
0.097,-1.676279950332298
0.098,-1.675282578382702
0.099,-1.674285256512445
0.1000000000000001,-1.67328799075601
0.1010000000000001,-1.672290768038407
0.1020000000000001,-1.67129359629303
0.1030000000000001,-1.670296466083347
0.1040000000000001,-1.669299380836029
0.1050000000000001,-1.668302334343835
0.1060000000000001,-1.667305325753941
0.1070000000000001,-1.666308355507031
0.1080000000000001,-1.665311418361837
0.1090000000000001,-1.664314521345998
0.1100000000000001,-1.663317651131079
0.1110000000000001,-1.662320809172511
0.1120000000000001,-1.661323999678709
0.1130000000000001,-1.660327214785698
0.1140000000000001,-1.65933046392229
0.1150000000000001,-1.658333730376874
0.1160000000000001,-1.657337023399495
0.1170000000000001,-1.656340345922687
0.1180000000000001,-1.655343685163744
0.1190000000000001,-1.65434704635844
0.1200000000000001,-1.653350429974976
0.1210000000000001,-1.652353832579635
0.1220000000000001,-1.651357250103666
0.1230000000000001,-1.650360689685169
0.1240000000000001,-1.649364145407088
0.1250000000000001,-1.648367618451879
0.1260000000000001,-1.647371107962369
0.1270000000000001,-1.646374611906706
0.1280000000000001,-1.645378135605751
0.1290000000000001,-1.644381671542321
0.1300000000000001,-1.643385215877893
0.1310000000000001,-1.642388775223946
0.1320000000000001,-1.641392349385271
0.1330000000000001,-1.640395938244488
0.1340000000000001,-1.639399536820166
0.1350000000000001,-1.638403143878671
0.1360000000000001,-1.637406763301291
0.1370000000000001,-1.63641039704355
0.1380000000000001,-1.635414036739922
0.1390000000000001,-1.634417697227125
0.1400000000000001,-1.633421355201904
0.1410000000000001,-1.632425025449327
0.1420000000000001,-1.631428707651843
0.1430000000000001,-1.630432396074736
0.1440000000000001,-1.629436093216539
0.1450000000000001,-1.628439802574203
0.1460000000000001,-1.62744351873893
0.1470000000000001,-1.626447240541699
0.1480000000000001,-1.625450972819265
0.1490000000000001,-1.624454711065738
0.1500000000000001,-1.623458457600194
0.1510000000000001,-1.622462210676486
0.1520000000000001,-1.621465973482883
0.1530000000000001,-1.620469741779439
0.1540000000000001,-1.619473515200133
0.1550000000000001,-1.618477294734811
0.1560000000000001,-1.617481084078446
0.1570000000000001,-1.616484877251515
0.1580000000000001,-1.615488677545677
0.1590000000000001,-1.614492486826161
0.1600000000000001,-1.613496297144272
0.1610000000000001,-1.612500112493887
0.1620000000000001,-1.611503944455887
0.1630000000000001,-1.610507768563027
0.1640000000000001,-1.60951160594283
0.1650000000000001,-1.608515449238241
0.1660000000000001,-1.607519291364396
0.1670000000000001,-1.606523142311225
0.1680000000000001,-1.605527001720099
0.1690000000000001,-1.604530863671583
0.1700000000000001,-1.60353473078517
0.1710000000000001,-1.602538606811684
0.1720000000000001,-1.601542481155371
0.1730000000000001,-1.600546363176709
0.1740000000000001,-1.599550252047368
0.1750000000000001,-1.598554145454627
0.1760000000000001,-1.597558040347885
0.1770000000000001,-1.59656194190194
0.1780000000000001,-1.595565850726063
0.1790000000000001,-1.594569758341156
0.1800000000000001,-1.593573673377349
0.1810000000000001,-1.592577595071891
0.1820000000000001,-1.591581518566302
0.1830000000000001,-1.590585445038083
0.1840000000000001,-1.589589379020553
0.1850000000000001,-1.588593318105889
0.1860000000000001,-1.587597260140694
0.1870000000000001,-1.586601203442591
0.1880000000000001,-1.585605154067628
0.1890000000000001,-1.584609107050243
0.1900000000000001,-1.583613067270873
0.1910000000000001,-1.582617027526766
0.1920000000000001,-1.581620994477805
0.1930000000000001,-1.580624965911755
0.1940000000000001,-1.57962893846242
0.1950000000000001,-1.578632915319484
0.1960000000000001,-1.577636895970566
0.1970000000000001,-1.576640881255868
0.1980000000000001,-1.57564487231672
0.1990000000000001,-1.574648863460782
0.2000000000000001,-1.573652861086316
0.2010000000000002,-1.572656861114068
0.2020000000000002,-1.571660866214366
0.2030000000000002,-1.570664874358254
0.2040000000000002,-1.569668886313043
0.2050000000000002,-1.568672900520365
0.2060000000000002,-1.567676922459503
0.2070000000000002,-1.566680941691502
0.2080000000000002,-1.565684968847729
0.2090000000000002,-1.564688995090333
0.2100000000000002,-1.563693026811008
0.2110000000000002,-1.562697066058968
0.2120000000000002,-1.561701100003801
0.2130000000000002,-1.560705145368793
0.2140000000000002,-1.559709190459727
0.2150000000000002,-1.558713239436778
0.2160000000000002,-1.557717293671265
0.2170000000000002,-1.55672134518901
0.2180000000000002,-1.555725402658989
0.2190000000000002,-1.554729462622947
0.2200000000000002,-1.553733526685113
0.2210000000000002,-1.552737596998546
0.2220000000000002,-1.551741666654433
0.2230000000000002,-1.550745742420371
0.2240000000000002,-1.54974981917748
0.2250000000000002,-1.548753895221744
0.2260000000000002,-1.5477579788033
0.2270000000000002,-1.54676206245004
0.2280000000000002,-1.545766153428038
0.2290000000000002,-1.544770240489897
0.2300000000000002,-1.543774336228921
0.2310000000000002,-1.542778426905788
0.2320000000000002,-1.54178252861553
0.2330000000000002,-1.540786630259495
0.2340000000000002,-1.539790731895022
0.2350000000000002,-1.538794839447369
0.2360000000000002,-1.537798948133622
0.2370000000000002,-1.536803061407072
0.2380000000000002,-1.535807176976442
0.2390000000000002,-1.534811291696123
0.2400000000000002,-1.533815408402133
0.2410000000000002,-1.532819530832871
0.2420000000000002,-1.531823654487505
0.2430000000000002,-1.530827781688717
0.2440000000000002,-1.529831910590874
0.2450000000000002,-1.528836039625753
0.2460000000000002,-1.527840172043063
0.2470000000000002,-1.526844307678944
0.2480000000000002,-1.525848445225903
0.2490000000000002,-1.524852585260663
0.2500000000000002,-1.523856726224128
0.2510000000000002,-1.522860871449084
0.2520000000000002,-1.521865014986384
0.2530000000000002,-1.520869162364175
0.2540000000000002,-1.519873309621103
0.2550000000000002,-1.518877462167651
0.2560000000000002,-1.517881615847193
0.2570000000000002,-1.516885771339741
0.2580000000000002,-1.515889929454859
0.2590000000000002,-1.514894086286407
0.2600000000000002,-1.513898246927015
0.2610000000000002,-1.512902406113494
0.2620000000000002,-1.511906571872212
0.2630000000000002,-1.510910733970237
0.2640000000000002,-1.509914900282694
0.2650000000000002,-1.508919068304395
0.2660000000000002,-1.507923238077629
0.2670000000000002,-1.506927411573958
0.2680000000000002,-1.505931581344244
0.2690000000000002,-1.504935755661952
0.2700000000000002,-1.503939930898915
0.2710000000000002,-1.502944107278108
0.2720000000000002,-1.501948281027248
0.2730000000000002,-1.500952464971724
0.2740000000000002,-1.499956641823636
0.2750000000000002,-1.498960825212416
0.2760000000000002,-1.497965006581537
0.2770000000000002,-1.496969185880259
0.2780000000000002,-1.495973374962479
0.2790000000000002,-1.494977556437164
0.2800000000000002,-1.493981744475606
0.2810000000000002,-1.492985930720456
0.2820000000000002,-1.491990119137216
0.2830000000000002,-1.490994307765583
0.2840000000000002,-1.489998497275316
