"PSR (IL=0.2,Temp=125,harmonic=0) X","PSR (IL=0.2,Temp=125,harmonic=0) Y","PSR (IL=0.2,Temp=-55,harmonic=0) X","PSR (IL=0.2,Temp=-55,harmonic=0) Y","PSR (IL=0.2,Temp=-180,harmonic=0) X","PSR (IL=0.2,Temp=-180,harmonic=0) Y","PSR (IL=0.02,Temp=125,harmonic=0) X","PSR (IL=0.02,Temp=125,harmonic=0) Y","PSR (IL=0.02,Temp=-55,harmonic=0) X","PSR (IL=0.02,Temp=-55,harmonic=0) Y","PSR (IL=0.02,Temp=-180,harmonic=0) X","PSR (IL=0.02,Temp=-180,harmonic=0) Y"
10.00000000000001,-20.25515786447129,10.00000000000001,-32.83107765731393,10.00000000000001,-35.55596115972177,10.00000000000001,-40.72044326128228,10.00000000000001,-43.76091975355418,10.00000000000001,-49.80586446274248
12.58925411794168,-20.2551578580495,12.58925411794168,-32.83107765010421,12.58925411794168,-35.55596115237159,12.58925411794168,-40.72044325258731,12.58925411794168,-43.7609197429181,12.58925411794168,-49.8058644479822
15.84893192461115,-20.25515784790828,15.84893192461115,-32.83107763870732,15.84893192461115,-35.55596114076209,15.84893192461115,-40.72044323884874,15.84893192461115,-43.76091972613069,15.84893192461115,-49.80586442462665
19.95262314968881,-20.25515783192734,19.95262314968881,-32.83107762073821,19.95262314968881,-35.5559611224586,19.95262314968881,-40.72044321716722,19.95262314968881,-43.76091969958274,19.95262314968881,-49.80586438770979
25.11886431509582,-20.25515780682557,25.11886431509582,-32.83107759249277,25.11886431509582,-35.55596109368457,25.11886431509582,-40.72044318302468,25.11886431509582,-43.76091965771411,25.11886431509582,-49.80586432949334
31.62277660168382,-20.25515776760156,31.62277660168382,-32.83107754830206,31.62277660168382,-35.55596104866373,31.62277660168382,-40.72044312949942,31.62277660168382,-43.76091959196191,31.62277660168382,-49.80586423766912
39.81071705534977,-20.25515770680749,39.81071705534977,-32.8310774796735,39.81071705534977,-35.55596097873722,39.81071705534977,-40.72044304606955,39.81071705534977,-43.7609194891653,39.81071705534977,-49.80586409364558
50.11872336272729,-20.25515761375579,50.11872336272729,-32.8310773742942,50.11872336272729,-35.55596087134393,50.11872336272729,-40.72044291721986,50.11872336272729,-43.76091932964574,50.11872336272729,-49.80586386882396
63.0957344480194,-20.2551574740381,63.0957344480194,-32.83107721525247,63.0957344480194,-35.5559607092097,63.0957344480194,-40.72044272094799,63.0957344480194,-43.76091908482336,63.0957344480194,-49.8058635205974
79.43282347242825,-20.25515727021604,79.43282347242825,-32.83107698128571,79.43282347242825,-35.55596047057164,79.43282347242825,-40.72044242790452,79.43282347242825,-43.76091871497039,79.43282347242825,-49.80586298706545
100.0000000000001,-20.25515698516026,100.0000000000001,-32.83107664948088,100.0000000000001,-35.55596013188097,100.0000000000001,-40.72044200231741,100.0000000000001,-43.76091816794059,100.0000000000001,-49.80586218110911
125.8925411794169,-20.25515660941715,125.8925411794169,-32.8310762017504,125.8925411794169,-35.55595967418922,125.8925411794169,-40.72044140564471,125.8925411794169,-43.76091737939004,125.8925411794169,-49.80586098300316
158.4893192461116,-20.25515615201223,158.4893192461116,-32.83107563404099,158.4893192461116,-35.55595909248045,158.4893192461116,-40.72044060163023,158.4893192461116,-43.76091627200925,158.4893192461116,-49.80585922814225
199.5262314968883,-20.25515564873792,199.5262314968883,-32.83107496204666,199.5262314968883,-35.55595840115033,199.5262314968883,-40.72043955379356,199.5262314968883,-43.76091474548615,199.5262314968883,-49.80585667801627
251.1886431509584,-20.25515515938226,251.1886431509584,-32.83107421371944,251.1886431509584,-35.5559576261082,251.1886431509584,-40.72043820856219,251.1886431509584,-43.7609126439489,251.1886431509584,-49.80585295780162
316.2277660168385,-20.2551547519958,316.2277660168385,-32.83107340599268,316.2277660168385,-35.55595678092536,316.2277660168385,-40.72043645329067,316.2277660168385,-43.76090969291774,316.2277660168385,-49.80584744599643
398.107170553498,-20.25515448579155,398.107170553498,-32.83107251570695,398.107170553498,-35.5559558361926,398.107170553498,-40.72043405967943,398.107170553498,-43.76090540718492,398.107170553498,-49.80583910554615
501.1872336272732,-20.25515440713605,501.1872336272732,-32.83107145738632,501.1872336272732,-35.55595469601947,501.1872336272732,-40.72043061729432,501.1872336272732,-43.7608989686284,501.1872336272732,-49.80582624475106
