time,2*VREF
2.510109232106383e-06,0.9
2.510127171598831e-06,0.9
2.510149054905339e-06,0.9
2.510177921693403e-06,0.9
2.510223130251015e-06,0.9
2.510295531727976e-06,0.9
2.510354615780941e-06,0.9
2.510417247405557e-06,0.9
2.510489437207933e-06,0.9
2.510575194214377e-06,0.9
2.510686155446738e-06,0.9
2.510807780166151e-06,0.9
2.510935062841476e-06,0.9
2.511051526420004e-06,0.9
2.511163231357893e-06,0.9
2.511279119100259e-06,0.9
2.511407453228926e-06,0.9
2.511561030316689e-06,0.9
2.511763333373659e-06,0.9
2.511988064418686e-06,0.9
2.512236395041291e-06,0.9
2.512472595717826e-06,0.9
2.512694470128058e-06,0.9
2.512906078657085e-06,0.9
2.513110238654492e-06,0.9
2.513311759253266e-06,0.9
2.513515757915691e-06,0.9
2.513728054714027e-06,0.9
2.513956977875999e-06,0.9
2.514196867780246e-06,0.9
2.514435103764415e-06,0.9
2.514682065348332e-06,0.9
2.514949472050133e-06,0.9
2.515255821813077e-06,0.9
2.515539675064836e-06,0.9
2.515814755070102e-06,0.9
2.51609233135883e-06,0.9
2.516378421998755e-06,0.9
2.516684609254243e-06,0.9
2.517028098490769e-06,0.9
2.517391318170354e-06,0.9
2.517766488879991e-06,0.9
2.518173059040511e-06,0.9
2.518593158909443e-06,0.9
2.518983223375632e-06,0.9
2.519372595469919e-06,0.9
2.519786851207444e-06,0.9
2.520262588724141e-06,0.9
2.520760581095368e-06,0.9
2.521304914926663e-06,0.9
2.521885275950885e-06,0.9
2.522432216883973e-06,0.9
2.523005919553423e-06,0.9
2.523683315342011e-06,0.9
2.524417688862253e-06,0.9
2.525296484709726e-06,0.9
2.526098215312689e-06,0.9
2.526961329258576e-06,0.9
2.528017884941084e-06,0.9
2.529266235055275e-06,0.9
2.530477684334465e-06,0.9
2.531931096416327e-06,0.9
2.533741943141038e-06,0.9
2.535720021727106e-06,0.9
2.53834055385834e-06,0.9
2.542070678136494e-06,0.9
2.546352451890367e-06,0.9
2.553404082062898e-06,0.9
2.565162701714353e-06,0.9
2.575307866713556e-06,0.9
2.58619317127373e-06,0.9
2.599301083967897e-06,0.9
2.614630441413252e-06,0.9
2.63303190010648e-06,0.9
2.656113750244934e-06,0.9
2.686358628794666e-06,0.9
2.727076336759392e-06,0.9
2.781428558429295e-06,0.9
2.859574137477751e-06,0.9
2.959574137477751e-06,0.9
3.059574137477751e-06,0.9
3.159574137477751e-06,0.9
3.259574137477751e-06,0.9
3.359574137477751e-06,0.9
3.459574137477751e-06,0.9
3.559574137477751e-06,0.9
3.65957413747775e-06,0.9
3.74001e-06,0.9
3.740019765625e-06,0.9
3.740034967096543e-06,0.9
3.740054859225343e-06,0.9
3.740072933068241e-06,0.9
3.740087620574204e-06,0.9
3.74010257802134e-06,0.9
3.740119004926063e-06,0.9
3.740138428838702e-06,0.9
3.740163345550351e-06,0.9
3.740199238861399e-06,0.9
3.740263023066977e-06,0.9
3.740320583459831e-06,0.9
3.740378992458356e-06,0.9
3.740445873581167e-06,0.9
3.740524962013554e-06,0.9
3.740622598857522e-06,0.9
3.740750589800848e-06,0.9
3.740885181534847e-06,0.9
3.741027804611342e-06,0.9
3.741152858195033e-06,0.9
3.741274627205206e-06,0.9
3.741403659186509e-06,0.9
3.74155041361274e-06,0.9
3.741736029415996e-06,0.9
3.741973386414987e-06,0.9
3.74221604163614e-06,0.9
3.742461896932162e-06,0.9
3.742710823400759e-06,0.9
3.742960214422881e-06,0.9
3.743212623352871e-06,0.9
