"PSR_VDD (Temp=0,VREF_PSR=0.05) X","PSR_VDD (Temp=0,VREF_PSR=0.05) Y","PSR_VDD (Temp=0,VREF_PSR=0.25) X","PSR_VDD (Temp=0,VREF_PSR=0.25) Y","PSR_VDD (Temp=0,VREF_PSR=0.45) X","PSR_VDD (Temp=0,VREF_PSR=0.45) Y","PSR_VDD (Temp=0,VREF_PSR=0.65) X","PSR_VDD (Temp=0,VREF_PSR=0.65) Y","PSR_VDD (Temp=0,VREF_PSR=0.85) X","PSR_VDD (Temp=0,VREF_PSR=0.85) Y","PSR_VDD (Temp=27,VREF_PSR=0.05) X","PSR_VDD (Temp=27,VREF_PSR=0.05) Y","PSR_VDD (Temp=27,VREF_PSR=0.25) X","PSR_VDD (Temp=27,VREF_PSR=0.25) Y","PSR_VDD (Temp=27,VREF_PSR=0.45) X","PSR_VDD (Temp=27,VREF_PSR=0.45) Y","PSR_VDD (Temp=27,VREF_PSR=0.65) X","PSR_VDD (Temp=27,VREF_PSR=0.65) Y","PSR_VDD (Temp=27,VREF_PSR=0.85) X","PSR_VDD (Temp=27,VREF_PSR=0.85) Y","PSR_VDD (Temp=125,VREF_PSR=0.05) X","PSR_VDD (Temp=125,VREF_PSR=0.05) Y","PSR_VDD (Temp=125,VREF_PSR=0.25) X","PSR_VDD (Temp=125,VREF_PSR=0.25) Y","PSR_VDD (Temp=125,VREF_PSR=0.45) X","PSR_VDD (Temp=125,VREF_PSR=0.45) Y","PSR_VDD (Temp=125,VREF_PSR=0.65) X","PSR_VDD (Temp=125,VREF_PSR=0.65) Y","PSR_VDD (Temp=125,VREF_PSR=0.85) X","PSR_VDD (Temp=125,VREF_PSR=0.85) Y","PSR_VDD (Temp=-55,VREF_PSR=0.05) X","PSR_VDD (Temp=-55,VREF_PSR=0.05) Y","PSR_VDD (Temp=-55,VREF_PSR=0.25) X","PSR_VDD (Temp=-55,VREF_PSR=0.25) Y","PSR_VDD (Temp=-55,VREF_PSR=0.45) X","PSR_VDD (Temp=-55,VREF_PSR=0.45) Y","PSR_VDD (Temp=-55,VREF_PSR=0.65) X","PSR_VDD (Temp=-55,VREF_PSR=0.65) Y","PSR_VDD (Temp=-55,VREF_PSR=0.85) X","PSR_VDD (Temp=-55,VREF_PSR=0.85) Y","PSR_VDD (Temp=-100,VREF_PSR=0.05) X","PSR_VDD (Temp=-100,VREF_PSR=0.05) Y","PSR_VDD (Temp=-100,VREF_PSR=0.25) X","PSR_VDD (Temp=-100,VREF_PSR=0.25) Y","PSR_VDD (Temp=-100,VREF_PSR=0.45) X","PSR_VDD (Temp=-100,VREF_PSR=0.45) Y","PSR_VDD (Temp=-100,VREF_PSR=0.65) X","PSR_VDD (Temp=-100,VREF_PSR=0.65) Y","PSR_VDD (Temp=-100,VREF_PSR=0.85) X","PSR_VDD (Temp=-100,VREF_PSR=0.85) Y"
10.00000000000001,-78.42025201989655,10.00000000000001,-56.65132832044375,10.00000000000001,-58.91359009356849,10.00000000000001,-61.47926821763604,10.00000000000001,-58.7101779555306,10.00000000000001,-57.87526453264736,10.00000000000001,-53.71562616529912,10.00000000000001,-55.94949919430706,10.00000000000001,-58.46974364888895,10.00000000000001,-55.68784727728251,10.00000000000001,-43.14010763185006,10.00000000000001,-44.25368148214823,10.00000000000001,-46.28191329446062,10.00000000000001,-48.5461077528629,10.00000000000001,-45.1802827856801,10.00000000000001,-58.75748494156219,10.00000000000001,-62.4986698650893,10.00000000000001,-64.74536476029671,10.00000000000001,-67.2984323165459,10.00000000000001,-63.09339216497128,10.00000000000001,-48.86631603109377,10.00000000000001,-68.63005207935537,10.00000000000001,-70.74124599684768,10.00000000000001,-73.22597140792983,10.00000000000001,-69.36297458982901
12.58925411794168,-78.42024643030969,12.58925411794168,-56.6513282917897,12.58925411794168,-58.9135900475899,12.58925411794168,-61.47926813338392,12.58925411794168,-58.710177784559,12.58925411794168,-57.87526447941785,12.58925411794168,-53.71562614875636,12.58925411794168,-55.94949916779535,12.58925411794168,-58.46974360056638,12.58925411794168,-55.68784717067697,12.58925411794168,-43.14010762939234,12.58925411794168,-44.25368147934658,12.58925411794168,-46.28191329007554,12.58925411794168,-48.54610774525069,12.58925411794168,-45.18028276374378,12.58925411794168,-58.75748488927171,12.58925411794168,-62.49866978203738,12.58925411794168,-64.74536462843361,12.58925411794168,-67.29843207790201,12.58925411794168,-63.09339187306958,12.58925411794168,-48.86631602569614,12.58925411794168,-68.63005182040006,12.58925411794168,-70.74124560079792,12.58925411794168,-73.22597070754368,12.58925411794168,-69.36297373586463
15.84893192461115,-78.42023757201601,15.84893192461115,-56.65132824638044,15.84893192461115,-58.9135899746427,15.84893192461115,-61.47926799978013,15.84893192461115,-58.71017751359343,15.84893192461115,-57.87526439509307,15.84893192461115,-53.7156261225304,15.84893192461115,-55.94949912578679,15.84893192461115,-58.46974352400836,15.84893192461115,-55.68784700168129,15.84893192461115,-43.14010762550009,15.84893192461115,-44.25368147488758,15.84893192461115,-46.28191328315697,15.84893192461115,-48.54610773318344,15.84893192461115,-45.18028272897084,15.84893192461115,-58.75748480673145,15.84893192461115,-62.49866965017568,15.84893192461115,-64.74536441951356,15.84893192461115,-67.2984316994564,15.84893192461115,-63.09339141039554,15.84893192461115,-48.86631601718397,15.84893192461115,-68.63005140985149,15.84893192461115,-70.74124497337618,15.84893192461115,-73.22596959750668,15.84893192461115,-69.36297238251181
19.95262314968881,-78.42022353237793,19.95262314968881,-56.65132817433638,19.95262314968881,-58.91358985908829,19.95262314968881,-61.47926778809352,19.95262314968881,-58.71017708411976,19.95262314968881,-57.87526426147146,19.95262314968881,-53.71562608094696,19.95262314968881,-55.94949905910527,19.95262314968881,-58.46974340264081,19.95262314968881,-55.68784673384965,19.95262314968881,-43.14010761933554,19.95262314968881,-44.25368146783128,19.95262314968881,-46.28191327218069,19.95262314968881,-48.54610771403787,19.95262314968881,-45.18028267386459,19.95262314968881,-58.75748467570654,19.95262314968881,-62.49866944147544,19.95262314968881,-64.74536408838206,19.95262314968881,-67.29843109990206,19.95262314968881,-63.09339067715722,19.95262314968881,-48.86631600363669,19.95262314968881,-68.63005075917594,19.95262314968881,-70.74124397881145,19.95262314968881,-73.22596783828789,19.95262314968881,-69.36297023757932
25.11886431509582,-78.42020128027526,25.11886431509582,-56.65132806018929,25.11886431509582,-58.91358967597642,25.11886431509582,-61.47926745266155,25.11886431509582,-58.71017640346577,25.11886431509582,-57.87526404963304,25.11886431509582,-53.71562601507414,25.11886431509582,-55.94949895353121,25.11886431509582,-58.46974321023887,25.11886431509582,-55.68784630939381,25.11886431509582,-43.14010760955988,25.11886431509582,-44.25368145663483,25.11886431509582,-46.28191325478636,25.11886431509582,-48.54610768372043,25.11886431509582,-45.18028258652134,25.11886431509582,-58.7574844679994,25.11886431509582,-62.49866911045051,25.11886431509582,-64.7453635635318,25.11886431509582,-67.29843014955935,25.11886431509582,-63.09338951503445,25.11886431509582,-48.86631598216506,25.11886431509582,-68.63004972817492,25.11886431509582,-70.74124240269249,25.11886431509582,-73.22596505049852,25.11886431509582,-69.36296683807825
31.62277660168382,-78.42016601448226,31.62277660168382,-56.65132787929675,31.62277660168382,-58.91358938570357,31.62277660168382,-61.4792669208838,31.62277660168382,-58.71017532467017,31.62277660168382,-57.875263713918,31.62277660168382,-53.71562591062911,31.62277660168382,-55.94949878614716,31.62277660168382,-58.46974290536509,31.62277660168382,-55.68784563665552,31.62277660168382,-43.14010759404439,31.62277660168382,-44.25368143889792,31.62277660168382,-46.28191322722044,31.62277660168382,-48.54610763563797,31.62277660168382,-45.18028244808211,31.62277660168382,-58.75748413893421,31.62277660168382,-62.49866858599152,31.62277660168382,-64.74536273164703,31.62277660168382,-67.29842864340382,31.62277660168382,-63.09338767315761,31.62277660168382,-48.86631594816204,31.62277660168382,-68.63004809387768,31.62277660168382,-70.74123990472646,31.62277660168382,-73.22596063143975,31.62277660168382,-69.36296145027761
39.81071705534977,-78.42011012235945,39.81071705534977,-56.65132759259884,39.81071705534977,-58.91358892568633,39.81071705534977,-61.47926607819831,39.81071705534977,-58.71017361492225,39.81071705534977,-57.87526318190097,39.81071705534977,-53.71562574511934,39.81071705534977,-55.94949852090424,39.81071705534977,-58.46974242217837,39.81071705534977,-55.68784457041161,39.81071705534977,-43.14010756949158,39.81071705534977,-44.2536814108033,39.81071705534977,-46.28191318353499,39.81071705534977,-48.54610755944574,39.81071705534977,-45.18028222869414,39.81071705534977,-58.75748361746037,39.81071705534977,-62.49866775471148,39.81071705534977,-64.74536141333661,39.81071705534977,-67.29842625614533,39.81071705534977,-63.09338475396824,39.81071705534977,-48.8663158942671,39.81071705534977,-68.63004550399428,39.81071705534977,-70.74123594577722,39.81071705534977,-73.22595362830808,39.81071705534977,-69.36295291106389
50.11872336272729,-78.42002154121506,50.11872336272729,-56.65132713823351,50.11872336272729,-58.91358819659588,50.11872336272729,-61.47926474256379,50.11872336272729,-58.71017090516686,50.11872336272729,-57.8752623387139,50.11872336272729,-53.71562548281477,50.11872336272729,-55.9494981004897,50.11872336272729,-58.46974165636546,50.11872336272729,-55.6878428805982,50.11872336272729,-43.1401075305491,50.11872336272729,-44.25368136625613,50.11872336272729,-46.28191311428255,50.11872336272729,-48.54610743869471,50.11872336272729,-45.18028188097146,50.11872336272729,-58.75748279078764,50.11872336272729,-62.49866643718562,50.11872336272729,-64.74535932389841,50.11872336272729,-67.29842247262528,50.11872336272729,-63.09338012748557,50.11872336272729,-48.86631580887563,50.11872336272729,-68.63004139905807,50.11872336272729,-70.74122967099318,50.11872336272729,-73.2259425284188,50.11872336272729,-69.36293937746095
63.0957344480194,-78.41988115270257,63.0957344480194,-56.65132641805548,63.0957344480194,-58.91358704106591,63.0957344480194,-61.47926262575453,63.0957344480194,-58.71016661054842,63.0957344480194,-57.8752610022208,63.0957344480194,-53.71562506706282,63.0957344480194,-55.94949743421672,63.0957344480194,-58.46974044263895,63.0957344480194,-55.68784020236719,63.0957344480194,-43.1401074688505,63.0957344480194,-44.25368129566041,63.0957344480194,-46.28191300450061,63.0957344480194,-48.54610724730095,63.0957344480194,-45.18028132987576,63.0957344480194,-58.75748148072665,63.0957344480194,-62.49866434911544,63.0957344480194,-64.74535601250838,63.0957344480194,-67.29841647631198,63.0957344480194,-63.0933727949232,63.0957344480194,-48.86631567346711,63.0957344480194,-68.63003489332209,63.0957344480194,-70.74121972640087,63.0957344480194,-73.2259249368678,63.0957344480194,-69.36291792825608
79.43282347242825,-78.41965866090672,79.43282347242825,-56.65132527670055,79.43282347242825,-58.91358520966287,79.43282347242825,-61.47925927076308,79.43282347242825,-58.71015980398981,79.43282347242825,-57.87525888414067,79.43282347242825,-53.71562440815515,79.43282347242825,-55.94949637822497,79.43282347242825,-58.46973851898347,79.43282347242825,-55.68783595768669,79.43282347242825,-43.14010737105182,79.43282347242825,-44.2536811837765,79.43282347242825,-46.28191283057964,79.43282347242825,-48.54610694399454,79.43282347242825,-45.18028045643976,79.43282347242825,-58.75747940443281,79.43282347242825,-62.49866103977644,79.43282347242825,-64.74535076412499,79.43282347242825,-67.29840697299764,79.43282347242825,-63.0933611736306,79.43282347242825,-48.8663154589435,79.43282347242825,-68.63002458244385,79.43282347242825,-70.7412039654843,79.43282347242825,-73.22589705607618,79.43282347242825,-69.36288393374065
