Load Current (Temp=27) X,Load Current (Temp=27) Y,Load Current (Temp=125) X,Load Current (Temp=125) Y,Load Current (Temp=-55) X,Load Current (Temp=-55) Y,Load Current (Temp=-180) X,Load Current (Temp=-180) Y
5.165745774724154e-09,0.0002,5.204720431519756e-09,0.0002,5.1659209328788e-09,0.0002,5.17452441729323e-09,0.0002
5.182342621882553e-09,0.0002,5.229724264000915e-09,0.0002,5.18346404041015e-09,0.0002,5.197252620275944e-09,0.0002
5.201860438902467e-09,0.0002,5.25272259943923e-09,0.0002,5.203227747575932e-09,0.0002,5.220769925112579e-09,0.0002
5.223759290662714e-09,0.0002,5.273748662708971e-09,0.0002,5.225208969303299e-09,0.0002,5.245439615841746e-09,0.0002
5.246843236127533e-09,0.0002,5.294110011285319e-09,0.0002,5.248811888461184e-09,0.0002,5.272100148110009e-09,0.0002
5.264345373401205e-09,0.0002,5.314345727187179e-09,0.0002,5.276587845675152e-09,0.0002,5.301082495715202e-09,0.0002
5.279728769506211e-09,0.0002,5.334542786599963e-09,0.0002,5.291056414092289e-09,0.0002,5.322443068314979e-09,0.0002
5.294763928020237e-09,0.0002,5.354658901042845e-09,0.0002,5.305908615937603e-09,0.0002,5.342183811061315e-09,0.0002
5.310120799572806e-09,0.0002,5.374561192669113e-09,0.0002,5.318846150339406e-09,0.0002,5.357905757176123e-09,0.0002
5.32617444809017e-09,0.0002,5.394503034559271e-09,0.0002,5.331521185363524e-09,0.0002,5.367783518583951e-09,0.0002
5.342919002179265e-09,0.0002,5.415221576696585e-09,0.0002,5.345253370397485e-09,0.0002,5.3771088157083e-09,0.0002
5.360116259744347e-09,0.0002,5.436050601030968e-09,0.0002,5.360153242391578e-09,0.0002,5.387310862872166e-09,0.0002
5.377563322500002e-09,0.0002,5.456121929464332e-09,0.0002,5.376097182319105e-09,0.0002,5.401109250995606e-09,0.0002
5.395084432112605e-09,0.0002,5.475048656899637e-09,0.0002,5.392703161724788e-09,0.0002,5.417913511407539e-09,0.0002
5.412563219539093e-09,0.0002,5.492818057056597e-09,0.0002,5.409669041913746e-09,0.0002,5.436007214422616e-09,0.0002
5.429924836968209e-09,0.0002,5.509570482995484e-09,0.0002,5.426759627153682e-09,0.0002,5.455643617774718e-09,0.0002
5.447925006846811e-09,0.0002,5.525472706692097e-09,0.0002,5.443862382787748e-09,0.0002,5.477183130271142e-09,0.0002
5.466760464677399e-09,0.0002,5.540680342520938e-09,0.0002,5.460997932256548e-09,0.0002,5.501791951604099e-09,0.0002
5.485518682157614e-09,0.0002,5.555327525028232e-09,0.0002,5.478851111388523e-09,0.0002,5.518307831457465e-09,0.0002
5.50307418124507e-09,0.0002,5.569527019279236e-09,0.0002,5.498748321980913e-09,0.0002,5.531835298254777e-09,0.0002
5.519036574660495e-09,0.0002,5.583370253248414e-09,0.0002,5.51874533866139e-09,0.0002,5.545634565350037e-09,0.0002
5.533564632629327e-09,0.0002,5.596934862267889e-09,0.0002,5.536773923756249e-09,0.0002,5.555904119629842e-09,0.0002
5.546929979061591e-09,0.0002,5.610301777047923e-09,0.0002,5.551783071875767e-09,0.0002,5.564696929840348e-09,0.0002
5.559389455628787e-09,0.0002,5.623290546244828e-09,0.0002,5.56435489383565e-09,0.0002,5.573618318918907e-09,0.0002
5.571156489954356e-09,0.0002,5.634764120009374e-09,0.0002,5.575287396155695e-09,0.0002,5.582724764250248e-09,0.0002
