"Ref. Voltage (VREF=0.6,Temp=27) X","Ref. Voltage (VREF=0.6,Temp=27) Y","Ref. Voltage (VREF=0.6,Temp=125) X","Ref. Voltage (VREF=0.6,Temp=125) Y","Ref. Voltage (VREF=0.6,Temp=-55) X","Ref. Voltage (VREF=0.6,Temp=-55) Y","Ref. Voltage (VREF=0.6,Temp=-180) X","Ref. Voltage (VREF=0.6,Temp=-180) Y","Ref. Voltage (VREF=0.7,Temp=27) X","Ref. Voltage (VREF=0.7,Temp=27) Y","Ref. Voltage (VREF=0.7,Temp=125) X","Ref. Voltage (VREF=0.7,Temp=125) Y","Ref. Voltage (VREF=0.7,Temp=-55) X","Ref. Voltage (VREF=0.7,Temp=-55) Y","Ref. Voltage (VREF=0.7,Temp=-180) X","Ref. Voltage (VREF=0.7,Temp=-180) Y","Ref. Voltage (VREF=0.8,Temp=27) X","Ref. Voltage (VREF=0.8,Temp=27) Y","Ref. Voltage (VREF=0.8,Temp=125) X","Ref. Voltage (VREF=0.8,Temp=125) Y","Ref. Voltage (VREF=0.8,Temp=-55) X","Ref. Voltage (VREF=0.8,Temp=-55) Y","Ref. Voltage (VREF=0.8,Temp=-180) X","Ref. Voltage (VREF=0.8,Temp=-180) Y","Ref. Voltage (VREF=0.9,Temp=27) X","Ref. Voltage (VREF=0.9,Temp=27) Y","Ref. Voltage (VREF=0.9,Temp=125) X","Ref. Voltage (VREF=0.9,Temp=125) Y","Ref. Voltage (VREF=0.9,Temp=-55) X","Ref. Voltage (VREF=0.9,Temp=-55) Y","Ref. Voltage (VREF=0.9,Temp=-180) X","Ref. Voltage (VREF=0.9,Temp=-180) Y","Ref. Voltage (VREF=1,Temp=27) X","Ref. Voltage (VREF=1,Temp=27) Y","Ref. Voltage (VREF=1,Temp=125) X","Ref. Voltage (VREF=1,Temp=125) Y","Ref. Voltage (VREF=1,Temp=-55) X","Ref. Voltage (VREF=1,Temp=-55) Y","Ref. Voltage (VREF=1,Temp=-180) X","Ref. Voltage (VREF=1,Temp=-180) Y"
1.0005e-05,0.6,1.10154370515512e-05,0.6,1.000584148539563e-05,0.6,5.03803360918749e-06,0.6,1.000601003279302e-05,0.7,1.102317747742624e-05,0.7,1.000601145708593e-05,0.7,5.025723848473774e-06,0.7,1.000648075518292e-05,0.8,1.103534418416492e-05,0.8,1.00069509702131e-05,0.8,5.024314697320759e-06,0.8,1.000778136688317e-05,0.9,1.113498640211099e-05,0.9,1.001093782084502e-05,0.9,5.026424169633748e-06,0.9,1.001218712516542e-05,1,1.141237494679915e-05,1,1.006495571601572e-05,1,5.030865054056254e-06,1
1.000514964957688e-05,0.6,1.101677412687359e-05,0.6,1.000585520546206e-05,0.6,5.038848980971107e-06,0.6,1.000601266895474e-05,0.7,1.102381752933469e-05,0.7,1.000601373915346e-05,0.7,5.025759865750587e-06,0.7,1.000653054141871e-05,0.8,1.10393356465942e-05,0.8,1.00070264420782e-05,0.8,5.024467876110708e-06,0.8,1.000795121050944e-05,0.9,1.11408831634062e-05,0.9,1.001119195428573e-05,0.9,5.026607284368838e-06,0.9,1.001257867518053e-05,1,1.148193885609797e-05,1,1.007982559597768e-05,1,5.030957537201302e-06,1
1.000525952334114e-05,0.6,1.101857092535434e-05,0.6,1.000586685502078e-05,0.6,5.039546785966457e-06,0.6,1.000601535327494e-05,0.7,1.102454378627221e-05,0.7,1.000601655407736e-05,0.7,5.025791745672596e-06,0.7,1.000659131372666e-05,0.8,1.104430274728444e-05,0.8,1.000711083526501e-05,0.8,5.024618973103383e-06,0.8,1.000812983694874e-05,0.9,1.114683784702592e-05,0.9,1.001140153571057e-05,0.9,5.026797167531875e-06,0.9,1.001299703790278e-05,1,1.158170895293307e-05,1,1.010526683500541e-05,1,5.031112815218196e-06,1
1.000529858668372e-05,0.6,1.102e-05,0.6,1.00058785838912e-05,0.6,5.040180251558279e-06,0.6,1.000601855740687e-05,0.7,1.102539176025306e-05,0.7,1.000602023135093e-05,0.7,5.025824387079573e-06,0.7,1.000665973130926e-05,0.8,1.105074663405894e-05,0.8,1.000720637872388e-05,0.8,5.024784467232327e-06,0.8,1.00083443743436e-05,0.9,1.115317989940736e-05,0.9,1.001167180767804e-05,0.9,5.027004602325327e-06,0.9,1.001343745777962e-05,1,1.175463377842127e-05,1,1.01553040483488e-05,1,5.031224092415171e-06,1
1.000534034866437e-05,0.6,1.102003904012208e-05,0.6,1.000589466991831e-05,0.6,5.040796094086837e-06,0.6,1.000602278732625e-05,0.7,1.102642245627723e-05,0.7,1.000602541640571e-05,0.7,5.025879064120148e-06,0.7,1.000673199730333e-05,0.8,1.105875453462357e-05,0.8,1.000731565875767e-05,0.8,5.024967199752834e-06,0.8,1.000860142801913e-05,0.9,1.116011854409947e-05,0.9,1.001189666711064e-05,0.9,5.027123354409947e-06,0.9,1.001390051975949e-05,1,1.196463377842127e-05,1,1.025537847503556e-05,1,5.031395009961516e-06,1
1.000538020749685e-05,0.6,1.102010514359372e-05,0.6,1.000591022405522e-05,0.6,5.041474663578469e-06,0.6,1.000602879452716e-05,0.7,1.102774744681838e-05,0.7,1.000603323859378e-05,0.7,5.025925346012341e-06,0.7,1.000679915165429e-05,0.8,1.106655581553049e-05,0.8,1.000744256855813e-05,0.8,5.025170964080077e-06,0.8,1.000885182586921e-05,0.9,1.116791749635e-05,0.9,1.001215098636995e-05,0.9,5.027180379059373e-06,0.9,1.001439780299244e-05,1,1.217463377842127e-05,1,1.04555273284091e-05,1,5.031550350290516e-06,1
1.000542933572281e-05,0.6,1.102012982297805e-05,0.6,1.000592588960485e-05,0.6,5.042260637614072e-06,0.6,1.000603724780775e-05,0.7,1.10296343071312e-05,0.7,1.000604305035167e-05,0.7,5.025969023700518e-06,0.7,1.000686489219022e-05,0.8,1.107420877254237e-05,0.8,1.000757274886018e-05,0.8,5.02541347170696e-06,0.8,1.000906010905887e-05,0.9,1.117681335654067e-05,0.9,1.001246409575996e-05,0.9,5.027239437140916e-06,0.9,1.001493788813286e-05,1,1.238463377842127e-05,1,1.06655273284091e-05,1,5.03172843576998e-06,1
1.000548644022899e-05,0.6,1.102015403612884e-05,0.6,1.00059424858929e-05,0.6,5.043180370167886e-06,0.6,1.000604728883543e-05,0.7,1.103222842383697e-05,0.7,1.000605409560724e-05,0.7,5.026022987559537e-06,0.7,1.000693424880682e-05,0.8,1.10816673619116e-05,0.8,1.00076940454474e-05,0.8,5.025524414882244e-06,0.8,1.000923507775501e-05,0.9,1.118709127162762e-05,0.9,1.001283149172614e-05,0.9,5.027309198464409e-06,0.9,1.001552846691302e-05,1,1.259463377842127e-05,1,1.083526366420455e-05,1,5.031922479519185e-06,1
1.000552923866729e-05,0.6,1.102018322292346e-05,0.6,1.000596086532091e-05,0.6,5.044066449985518e-06,0.6,1.00060585532188e-05,0.7,1.103595417225544e-05,0.7,1.000606588915167e-05,0.7,5.026098867823499e-06,0.7,1.00070086546613e-05,0.8,1.108801621932312e-05,0.8,1.00078382507062e-05,0.8,5.025635228021809e-06,0.8,1.000939321787006e-05,0.9,1.119921791330324e-05,0.9,1.001326357500854e-05,0.9,5.027360282242207e-06,0.9,1.001617906500872e-05,1,1.280463377842127e-05,1,1.1005e-05,1,5.032124203343898e-06,1
1.000556668967657e-05,0.6,1.102021606957971e-05,0.6,1.000598236438851e-05,0.6,5.044874085656049e-06,0.6,1.000607138141377e-05,0.7,1.103996093409049e-05,0.7,1.000607875515542e-05,0.7,5.026204603308052e-06,0.7,1.000708899381413e-05,0.8,1.10929099198113e-05,0.8,1.000803226440737e-05,0.8,5.025745667267268e-06,0.8,1.000954405348626e-05,0.9,1.121375758434722e-05,0.9,1.001372730870478e-05,0.9,5.027402678982995e-06,0.9,1.001690480220968e-05,1,1.301463377842127e-05,1,1.100505859375e-05,1,5.032340019503387e-06,1
1.000560199462361e-05,0.6,1.102026195009679e-05,0.6,1.0006e-05,0.6,5.045671558203939e-06,0.6,1.000608630093505e-05,0.7,1.104523083979146e-05,0.7,1.000609309209184e-05,0.7,5.026324579095167e-06,0.7,1.000717611527219e-05,0.8,1.109698096126114e-05,0.8,1.000820309738887e-05,0.8,5.02577910391327e-06,0.8,1.00097010199315e-05,0.9,1.123183392665931e-05,0.9,1.001423578624712e-05,0.9,5.027443030543393e-06,0.9,1.001772877732182e-05,1,1.322463377842127e-05,1,1.100513544893588e-05,1,5.032439377079142e-06,1
1.000562883825558e-05,0.6,1.102031970431293e-05,0.6,1.00060017541519e-05,0.6,5.046499013894338e-06,0.6,1.000610268644533e-05,0.7,1.105292486101626e-05,0.7,1.000610922145434e-05,0.7,5.026464887028101e-06,0.7,1.000727113286082e-05,0.8,1.11008190742018e-05,0.8,1.000836583715686e-05,0.8,5.025840879514258e-06,0.8,1.000988403713606e-05,0.9,1.125444777113184e-05,0.9,1.001480301838296e-05,0.9,5.027479082177827e-06,0.9,1.001863208556115e-05,1,1.337231688921064e-05,1,1.100516484206861e-05,1,5.032550874754726e-06,1
1.000565073776741e-05,0.6,1.102041125362322e-05,0.6,1.000600346603662e-05,0.6,5.04741125574901e-06,0.6,1.000612079995283e-05,0.7,1.106029589751799e-05,0.7,1.00061277141048e-05,0.7,5.026657560744441e-06,0.7,1.000737574072241e-05,0.8,1.110361236924187e-05,0.8,1.000853203547336e-05,0.8,5.025895578621201e-06,0.8,1.001012660850028e-05,0.9,1.127952375216341e-05,0.9,1.001544221843494e-05,0.9,5.027516212626962e-06,0.9,1.001972853279632e-05,1,1.352e-05,1,1.100519547678313e-05,1,5.032634800421965e-06,1
1.000567181993913e-05,0.6,1.102052585351586e-05,0.6,1.000600539129247e-05,0.6,5.048428235929142e-06,0.6,1.000614110796641e-05,0.7,1.106712167615864e-05,0.7,1.00061498013874e-05,0.7,5.026909308788655e-06,0.7,1.000749232642173e-05,0.8,1.110592286402735e-05,0.8,1.000871246830651e-05,0.8,5.025965714444354e-06,0.8,1.001043296099188e-05,0.9,1.130856259541405e-05,0.9,1.001613453892199e-05,0.9,5.027543815495812e-06,0.9,1.002120360498541e-05,1,1.3520234375e-05,1,1.100523007801023e-05,1,5.032700538587297e-06,1
1.000568830696353e-05,0.6,1.10206766301928e-05,0.6,1.000600693516782e-05,0.6,5.049581374717069e-06,0.6,1.000616451441162e-05,0.7,1.107371938727073e-05,0.7,1.000617652430357e-05,0.7,5.02715820916556e-06,0.7,1.000762424310829e-05,0.8,1.110846792923497e-05,0.8,1.000891462354279e-05,0.8,5.026028617798288e-06,0.8,1.001073476080023e-05,0.9,1.134461514318273e-05,0.9,1.001675757573348e-05,0.9,5.027571138926786e-06,0.9,1.002243116009954e-05,1,1.35206164272502e-05,1,1.100526386596354e-05,1,5.032768216688931e-06,1
1.000570430334489e-05,0.6,1.102085114086298e-05,0.6,1.000600902784073e-05,0.6,5.050979567453697e-06,0.6,1.000619206566984e-05,0.7,1.107959057562714e-05,0.7,1.000620719018548e-05,0.7,5.027314908994094e-06,0.7,1.000777642002759e-05,0.8,1.111166603716775e-05,0.8,1.000912516351536e-05,0.8,5.026085002516337e-06,0.8,1.001105618066396e-05,0.9,1.139338693045663e-05,0.9,1.001737901290815e-05,0.9,5.027610784558001e-06,0.9,1.002357437367528e-05,1,1.352074407707961e-05,1,1.100529608993142e-05,1,5.032808998985237e-06,1
1.000572009334112e-05,0.6,1.102104467341753e-05,0.6,1.000601126691462e-05,0.6,5.052089392202883e-06,0.6,1.000622562318716e-05,0.7,1.108420870547257e-05,0.7,1.000623675477415e-05,0.7,5.027467150136317e-06,0.7,1.000794019670773e-05,0.8,1.111539177949443e-05,0.8,1.000930169759464e-05,0.8,5.026137672437571e-06,0.8,1.001141088966951e-05,0.9,1.146894089370393e-05,0.9,1.001805677051859e-05,0.9,5.027649050418315e-06,0.9,1.002487795352438e-05,1,1.352086413356845e-05,1,1.100532742820467e-05,1,5.03285457862549e-06,1
