Output Voltage (Temp=27) X,Output Voltage (Temp=27) Y,Output Voltage (Temp=125) X,Output Voltage (Temp=125) Y,Output Voltage (Temp=-55) X,Output Voltage (Temp=-55) Y,Output Voltage (Temp=-180) X,Output Voltage (Temp=-180) Y
5.076882411563764e-09,-0.5063811927063444,5.085378244512299e-09,-0.4790340962317753,5.07741145857844e-09,1.199831776125753,5.076090013142245e-09,-0.5126585238058032
5.086113693784554e-09,-0.5063916303667985,5.09570341156913e-09,-0.4790449706570351,5.086713849637715e-09,1.199831914576642,5.085056498975092e-09,-0.512668245307991
5.096701244591362e-09,-0.5064022318655479,5.107597656048247e-09,-0.4790573430048103,5.097402149095553e-09,1.199832168272697,5.095272191186611e-09,-0.5126771195647969
5.108967983320913e-09,-0.5064139700307666,5.121481060490528e-09,-0.4790730641484461,5.109775345049848e-09,1.199832199901879,5.107028673310767e-09,-0.5126853701423797
5.122585613688916e-09,-0.5064278906488233,5.137965084039741e-09,-0.4790931395200119,5.122484081177654e-09,1.199831973335396,5.120711285081498e-09,-0.5126945845192407
5.136357913221425e-09,-0.5064426580190841,5.157099559525159e-09,-0.4791163921485798,5.135839021179134e-09,1.19983177180966,5.1362341849746e-09,-0.5127048373892736
5.150604838991854e-09,-0.5064573587501194,5.179570797496559e-09,-0.4791430455909491,5.150200748901634e-09,1.199831768997918,5.153942992126688e-09,-0.5127141308314359
5.165745774724154e-09,-0.506471742730351,5.204720431519756e-09,-0.4791727923021045,5.1659209328788e-09,1.19983185232196,5.17452441729323e-09,-0.5127205812990858
5.182342621882553e-09,-0.5064866268177095,5.229724264000915e-09,-0.4792021588945421,5.18346404041015e-09,1.199831838673308,5.197252620275944e-09,-0.5127234165723029
5.201860438902467e-09,-0.5065035344824733,5.25272259943923e-09,-0.4792285173290895,5.203227747575932e-09,1.199831747874094,5.220769925112579e-09,-0.5127222394579584
5.223759290662714e-09,-0.5065213131834986,5.273748662708971e-09,-0.4792519087345241,5.225208969303299e-09,1.199831707337131,5.245439615841746e-09,-0.5127161679563307
5.246843236127533e-09,-0.506538268197111,5.294110011285319e-09,-0.4792739223162014,5.248811888461184e-09,1.199831717104811,5.272100148110009e-09,-0.5127040291603223
5.264345373401205e-09,-0.5065499652300842,5.314345727187179e-09,-0.4792951496853408,5.276587845675152e-09,1.199831715078215,5.301082495715202e-09,-0.5126848076285593
5.279728769506211e-09,-0.5065595135268922,5.334542786599963e-09,-0.4793156275479045,5.291056414092289e-09,1.199831707532512,5.322443068314979e-09,-0.5126668989486994
5.294763928020237e-09,-0.5065681911226161,5.354658901042845e-09,-0.4793353005960357,5.305908615937603e-09,1.199831705145437,5.342183811061315e-09,-0.5126477133583475
5.310120799572806e-09,-0.5065763437121091,5.374561192669113e-09,-0.4793540937351597,5.318846150339406e-09,1.199831710476505,5.357905757176123e-09,-0.5126307471058887
5.32617444809017e-09,-0.5065840812427098,5.394503034559271e-09,-0.4793723336221033,5.331521185363524e-09,1.199831719173926,5.367783518583951e-09,-0.5126193732561536
5.342919002179265e-09,-0.5065913180971777,5.415221576696585e-09,-0.4793907762050818,5.345253370397485e-09,1.199831728170442,5.3771088157083e-09,-0.5126081694810878
5.360116259744347e-09,-0.506597881234382,5.436050601030968e-09,-0.4794089464629889,5.360153242391578e-09,1.199831737774543,5.387310862872166e-09,-0.5125954316103974
